x,y,species cloglog values
894.0,894.0,0.061192583
895.0,895.0,0.06834506
896.0,896.0,0.2679949
897.0,897.0,0.02286639
898.0,898.0,0.4588238
899.0,899.0,0.00789283
900.0,900.0,0.5077536
901.0,901.0,0.3680265
902.0,902.0,0.013217324
903.0,903.0,0.03467654
904.0,904.0,0.008629631
905.0,905.0,0.31908667
906.0,906.0,0.47134906
907.0,907.0,0.038272735
908.0,908.0,0.040791955
909.0,909.0,0.050418217
910.0,910.0,0.20792973
911.0,911.0,0.1118702
912.0,912.0,0.39782247
913.0,913.0,0.021323971
914.0,914.0,0.016322363
915.0,915.0,0.41883183
916.0,916.0,0.037991088
917.0,917.0,0.07131626
918.0,918.0,0.06736525
919.0,919.0,0.020481136
920.0,920.0,0.22127841
921.0,921.0,0.016898688
922.0,922.0,0.03600352
923.0,923.0,0.035728145
924.0,924.0,0.011485191
925.0,925.0,0.020919556
926.0,926.0,0.13218866
927.0,927.0,0.100831956
928.0,928.0,0.014043425
929.0,929.0,0.037099145
930.0,930.0,0.071371965
931.0,931.0,0.367704
932.0,932.0,0.026562374
933.0,933.0,0.09261454
934.0,934.0,0.060566746
935.0,935.0,0.032697044
936.0,936.0,0.05805983
937.0,937.0,0.045606177
938.0,938.0,0.76435536
939.0,939.0,0.20068842
940.0,940.0,0.15051137
941.0,941.0,0.79349554
942.0,942.0,0.1026167
943.0,943.0,0.41241142
944.0,944.0,0.01825889
945.0,945.0,0.115388915
946.0,946.0,0.14755349
947.0,947.0,0.2443388
948.0,948.0,0.15479794
949.0,949.0,0.1280205
950.0,950.0,0.2073661
951.0,951.0,0.9930305
952.0,952.0,0.21426202
953.0,953.0,0.079684295
954.0,954.0,0.052427806
955.0,955.0,0.015408073
956.0,956.0,0.018390596
